A(410),B(435),C(460),D(485),E(510),F(535),G(560),H(585),R(610),I(645),S(680),J(705),U(760),V(810),W(860),K(900),L(940),T(730),pH,EC  (dS/m),OC (%),P   (kg/ha),K (kg/ha),Ca (meq/100g),Mg (meq/100g),S (ppm),Fe (ppm),Mn (ppm),Cu (ppm),Zn (ppm),B (ppm)
3298.49,1100.04,2267.62,731.08,1032.08,1198.18,445.18,442.92,927.19,217.79,216.93,61.67,60.87,164.52,213.21,114.08,55.42,85.31,8.48,0.18,0.12,5.31,106.44,74.5,11.25,3.94,15.45,4.11,2.39,0.62,0.55
3502.72,1101.92,2068.13,678.92,849.58,1198.18,445.72,446.45,785.77,226.52,282.01,58.99,60.87,171.85,306.62,112.17,50.72,76.86,8.54,0.25,0.54,5.63,590.4,41,23.75,9.47,13.7,5.63,1.77,1.97,0.3
1867.51,948.57,2160.6,688.36,1037.22,1257.78,404,412.77,1187.09,217.68,303.84,60.99,66.89,177.38,224.14,73.79,41.08,82.56,5.04,0.07,0.24,37.14,98.56,2.13,0.74,24.83,0.17,7.6,1.48,0.54,0.38
1460.7,832.99,1960.96,612.6,937.76,1158.96,370.85,374.61,1109.83,197.16,303.84,53.79,67.69,180.82,238.78,71.44,39.26,81.8,7.97,0.4,0.94,27.15,381.92,6.31,1.9,41.39,0.91,9.2,0.9,0.76,0.46
2019.3,1090.06,2331.77,692.98,1053.01,1260.03,374.61,361.55,1055.44,182.44,299.73,60.15,63.66,164.46,223.01,74.28,40.17,78.77,5.31,0.02,0.35,2.45,714.56,2.3,1.9,28.97,0.31,13.07,0.94,0.61,0.58
1613.36,912.7,1987.47,681.9,963.02,1395.54,407.4,415.28,1106.31,220.35,275.1,60.15,70.92,172.21,209.49,65.77,41.08,89.38,6.2,0.11,0.75,55.36,271.04,4.95,2.5,9.93,2.55,25.8,1.96,0.51,0.5
1412.68,929.64,2324.81,699.45,1144.57,1443.46,361.7,382.14,982.22,208.76,253.54,51.68,68.5,157.57,208.37,72.58,40.17,87.86,4.73,0.05,0.71,55.36,98.56,3.89,1.01,8.28,19.58,18.75,0.44,0.68,0.09
1577.8,876.83,2017.29,645.86,996.13,1267.52,379.45,390.67,1189.43,204.74,305.89,58.03,68.5,177.38,218.51,69.17,39.26,84.07,,,,,,,,,,,,,
1288.08,834.98,2013.31,657.87,1011.17,1185.91,362.25,378.12,1057.14,199.39,281.26,54.22,62.86,171.35,226.39,73.71,41.08,77.26,,,,,,,,,,,,,
1465.9,889.9,1990.41,649.58,1058.89,1314.73,345.9,341.45,1006.98,180.54,275.8,51.26,70.2,160.41,218.09,69.18,37.42,87.25,,,,,,,,,,,,,
